epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.6903,2.52914,4.24644,2.36161,0.3721,0.00422,0.02793,0.01319,2.77878,4.66887,2.53483,0.000326241,0.000326241,0.000326241
2,44.8514,2.14202,3.31913,1.96648,0.25974,0.26503,0.21108,0.09399,2.00497,3.67688,1.84955,0.000646515,0.000646515,0.000646515
3,65.9405,1.9605,2.97072,1.84866,0.38652,0.27603,0.28981,0.12353,2.10588,3.28707,1.92646,0.000953589,0.000953589,0.000953589
4,87.0799,1.91178,2.74448,1.8466,0.47124,0.30239,0.33466,0.14505,2.01456,3.20498,1.8777,0.0009406,0.0009406,0.0009406
5,108.146,1.88019,2.61681,1.80583,0.30591,0.40651,0.31531,0.12837,2.06688,3.11584,1.93601,0.0009208,0.0009208,0.0009208
6,128.455,1.80766,2.51223,1.76851,0.51247,0.29126,0.31342,0.1422,1.87963,2.9697,1.80361,0.000901,0.000901,0.000901
7,150.072,1.81813,2.39045,1.75557,0.29649,0.40301,0.31082,0.13693,1.96234,2.66638,1.81371,0.0008812,0.0008812,0.0008812
8,170.157,1.76549,2.32793,1.72895,0.50277,0.35583,0.40531,0.17445,1.94032,2.52314,1.78734,0.0008614,0.0008614,0.0008614
9,192,1.7583,2.23237,1.70189,0.53161,0.46158,0.48824,0.24148,1.81801,2.24445,1.68202,0.0008416,0.0008416,0.0008416
10,212.781,1.72646,2.13277,1.67156,0.50497,0.46578,0.46648,0.22444,1.79436,2.29273,1.69967,0.0008218,0.0008218,0.0008218
11,234.664,1.73,2.15461,1.70494,0.49282,0.49302,0.52485,0.21425,1.9031,2.14009,1.77887,0.000802,0.000802,0.000802
12,255.584,1.69978,2.018,1.68637,0.59197,0.42337,0.5171,0.22403,1.85232,2.0501,1.74013,0.0007822,0.0007822,0.0007822
13,276.098,1.69593,2.01155,1.68728,0.61497,0.49303,0.5316,0.25954,1.74629,2.02244,1.65162,0.0007624,0.0007624,0.0007624
14,297.288,1.68302,1.92568,1.66352,0.63723,0.54575,0.59818,0.281,1.81033,1.92924,1.71687,0.0007426,0.0007426,0.0007426
15,318.611,1.62819,1.84871,1.62362,0.48646,0.5771,0.58394,0.2862,1.79607,1.88038,1.66071,0.0007228,0.0007228,0.0007228
16,340.14,1.65331,1.77847,1.6146,0.70112,0.55484,0.6369,0.31702,1.70133,1.75272,1.6107,0.000703,0.000703,0.000703
17,360.713,1.62913,1.79887,1.58741,0.61133,0.51168,0.59123,0.25543,1.89857,1.9015,1.71536,0.0006832,0.0006832,0.0006832
18,382.327,1.59712,1.7597,1.57355,0.66052,0.53311,0.57382,0.28586,1.73031,1.77168,1.60232,0.0006634,0.0006634,0.0006634
19,402.751,1.6084,1.70998,1.59013,0.67789,0.55687,0.62698,0.29181,1.88861,1.67448,1.6871,0.0006436,0.0006436,0.0006436
20,423.795,1.60489,1.70729,1.58706,0.71884,0.59057,0.66681,0.305,1.90244,1.67147,1.68788,0.0006238,0.0006238,0.0006238
